Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual,Year,Kms_Driven,Present_Price
False,True,False,True,2016,22671,13.6
False,True,False,True,2011,31604,6.79
False,True,False,True,2017,20114,5.7
False,True,False,True,2012,36100,9.4
False,True,False,True,2016,12500,4.43
False,True,False,True,2016,15000,4.43
False,True,False,True,2014,45078,9.4
False,True,False,True,2012,36000,9.4
False,True,False,True,2017,38488,4.43
False,True,False,False,2013,32000,6.79
True,False,False,True,2014,77632,7.6
True,False,False,True,2015,61381,9.4
False,True,False,False,2013,36198,9.4
False,True,False,True,2011,22517,4.6
False,True,False,True,2015,24678,5.7
False,True,False,True,2011,57000,4.43
True,False,False,True,2012,60000,9.4
True,False,False,True,2012,52132,6.79
True,False,False,True,2013,45000,9.4
False,True,False,True,2017,15001,9.4
False,True,False,False,2015,12900,14.79
True,False,False,True,2013,53000,5.7
False,True,False,True,2015,4492,5.7
False,True,False,True,2017,15141,9.4
False,True,False,True,2016,11849,4.43
True,False,False,True,2015,68000,13.6
False,True,False,True,2013,60241,9.4
False,True,False,True,2012,23709,4.43
True,False,False,True,2012,32322,9.4
False,True,False,True,2015,35866,7.13
False,True,False,True,2014,34000,7.13
False,True,False,True,2016,7000,7.6
True,False,False,True,2013,49000,9.4
True,False,False,True,2012,71000,9.4
False,True,False,True,2012,35000,6.79
False,True,False,True,2015,36000,9.4
False,True,False,True,2013,30000,4.6
False,True,False,True,2016,17000,7.6
True,False,False,True,2016,35934,13.6
False,True,False,True,2013,56701,9.9
False,True,False,False,2015,31427,6.82
True,False,False,True,2014,48000,9.9
False,True,False,True,2013,54242,9.9
False,True,False,True,2012,53675,5.35
False,True,False,True,2016,49562,13.6
False,True,False,True,2015,40324,13.6
False,True,False,True,2015,25000,13.6
False,True,False,True,2014,36054,7.0
False,True,False,True,2016,29223,13.6
False,True,False,True,2016,5600,5.97
False,True,False,True,2015,40023,5.8
False,True,False,True,2016,16002,7.7
False,True,False,True,2015,40026,7.0
False,True,False,True,2017,21200,8.7
False,True,False,True,2014,35000,7.0
True,False,False,True,2016,19434,9.4
False,True,False,True,2017,19000,5.8
False,True,False,True,2015,18828,10.0
False,True,False,True,2011,69341,10.0
False,True,False,True,2009,69562,10.0
False,True,False,True,2015,27600,10.0
False,True,False,True,2010,61203,7.5
False,True,False,True,2014,16500,6.8
False,True,False,False,2016,30753,13.6
False,True,False,True,2015,24800,13.6
False,True,False,True,2015,21780,13.6
False,True,False,True,2016,4000,8.4
False,True,False,True,2014,40126,13.6
False,True,False,True,2015,14465,5.9
False,True,False,True,2006,50456,7.6
True,False,False,True,2014,63000,14.0
False,True,False,True,2016,9010,11.8
False,True,False,True,2013,9800,5.9
False,True,False,False,2016,15059,8.5
False,True,False,True,2016,28569,7.9
False,True,False,False,2015,44000,7.5
False,True,False,True,2015,34000,13.6
False,True,False,True,2016,10980,13.6
False,True,False,True,2014,19000,6.4
False,True,False,True,2015,31427,6.1
False,True,False,True,2016,12000,8.4
False,True,False,True,2010,38000,9.9
False,True,False,True,2014,33019,6.8
True,False,False,True,2015,60076,13.09
True,False,False,True,2016,33988,11.6
False,True,False,True,2015,60000,5.9
False,True,False,True,2009,87934,11.0
True,False,False,True,2017,9000,12.5
False,True,False,True,2016,5464,5.9
